goal	rule	score
p1(X5)	p1(a65)	1
p0(X9)	p0(a36)	1
p8(a17, X0)	p8(a17, a11)	1
p9(X0, X8, X1)	p9(a81, a69, a55)	1
p7(X9, a29)	p7(X9, X9) :- p0(X9)	1
p8(X2, X0)	p8(a77, a1)	1
p7(X0, X1)	p7(a0, a96)	1
p5(X0, X1)	p5(a52, a48)	1
p0(X3)	p0(a33)	1
p3(a11, X0)	p3(a11, a18)	1
p7(a46, X0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p4(X8, X4, X8, X4, X3)	p4(X3, X5, X3, X5, a55) :- p8(X5, X3)	1
p9(X0, a97, X1)	p9(a20, a97, a41)	1
p7(X1, X0)	p7(a56, a54)	1
p3(X7, X5)	p3(a46, a11)	1
p1(X6)	p1(a15)	1
p7(X4, a54)	p7(X9, X9) :- p0(X9)	1
p5(X9, X0)	p5(a92, a4)	1
p3(X5, X0)	p3(a7, a81)	1
p9(X0, X2, X1)	p9(a24, a46, a10)	1
p8(X0, X9)	p8(a77, a1)	1
p8(X0, a28)	p8(a54, a28)	1
p7(X9, a44)	p7(X9, X9) :- p0(X9)	1
p7(X0, X1)	p7(a51, a13)	1
p8(X2, X0)	p8(a25, a94)	1
p8(X9, X0)	p8(a16, a13)	1
p1(X1)	p1(a74)	1
p7(X9, a13)	p7(a58, a13)	1
p3(X4, X0)	p3(a64, a11)	1
p8(X0, X6)	p8(a16, a13)	1
p6(X1)	p6(a34)	1
p1(X8)	p1(a35)	1
p9(X0, X1, a28)	p9(a44, a60, a28)	1
p7(X8, X0)	p7(X9, X9) :- p0(X9)	1
p8(X0, X1)	p8(a16, a10)	1
p1(X1)	p1(a69)	1
p0(X9)	p0(a39)	1
p3(X0, X7)	p3(a16, a29)	1
p9(X0, X2, a41)	p9(a20, a97, a41)	1
p9(X0, a13, X1)	p9(a50, a13, a0)	1
p5(X5, X0)	p5(a2, a20)	1
p1(X7)	p1(a29)	1
p5(X5, a0)	p5(a1, a0)	1
p8(X0, X1)	p8(a4, a11)	1
p7(X6, X0)	p7(a48, a0)	1
p3(X0, X9)	p3(a39, a28)	1
p0(X1)	p0(a89)	1
p8(X5, X0)	p8(a25, a94)	1
p3(X7, X5)	p3(a71, a1) :- p0(X0)	1
p0(a92)	p0(X5) :- p0(X5)	1
p1(X6)	p1(a72)	1
p8(X9, X0)	p8(a77, a1)	1
p9(X0, X9, a12)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p9(X1, X2, X0)	p9(a83, a77, a57)	1
p7(X0, a4)	p7(X9, X9) :- p0(X9)	1
p6(X3)	p6(a24)	1
p7(a29, X0)	p7(X1, X1) :- p8(X1, X9)	1
p0(X2)	p0(a36)	1
p8(a4, X0)	p8(a4, a11)	1
p7(X2, X0)	p7(a0, a96)	1
p3(X8, a0)	p3(a6, a0)	1
p5(X5, X0)	p5(a0, a51)	1
p9(X0, X9, a85)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p5(X7, a51)	p5(a0, a51)	1
p5(X3, a4)	p5(a92, a4)	1
p0(X1)	p0(a1)	1
p7(X1, X0)	p7(a48, a0)	1
p7(X3, X3)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p8(X4, X8)	p8(a0, a19)	1
p1(X6)	p1(a12)	1
p3(X0, X4)	p3(a11, a18)	1
p7(X0, a13)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p7(a29, X0)	p7(a29, a4)	1
p7(X0, a36)	p7(X9, X9) :- p0(X9)	1
p7(a92, a92)	p7(X1, X1) :- p8(X1, X9)	1
p3(X9, X0)	p3(a53, a72)	1
p9(X1, X0, X2)	p9(a1, a61, a12)	1
p3(X8, X4)	p3(a64, a11)	1
p3(X4, X0)	p3(a6, a0)	1
p9(X0, X2, a22)	p9(a1, a89, a22)	1
p1(X8)	p1(a24)	1
p1(X8)	p1(a65)	1
p9(X1, a75, X0)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p7(X7, a11)	p7(X9, X9) :- p0(X9)	1
p3(X2, a38)	p3(a70, a38)	1
p8(X2, a11)	p8(a4, a11)	1
p9(X0, X4, a85)	p9(a14, a38, a85)	1
p7(X1, X0)	p7(a0, a96)	1
p7(X6, X0)	p7(a29, a50)	1
p5(X1, X0)	p5(a0, a51)	1
p0(X6)	p0(a1)	1
p5(X4, X0)	p5(a0, a51)	1
p0(X0)	p0(a89)	1
p7(a54, a54)	p7(X9, X9) :- p0(X9)	1
p3(X0, X5)	p3(a99, a46)	1
p8(X0, X1)	p8(a12, a1)	1
p3(X8, a72)	p3(a53, a72)	1
p0(X6)	p0(X9) :- p3(X9, X7), p1(X7)	1
p7(X7, a12)	p7(X6, X7) :- p9(X0, X6, X7)	1
p1(X9)	p1(a24)	1
p7(a11, a11)	p7(X9, X9) :- p0(X9)	1
p0(X0)	p0(X9) :- p3(X9, X7), p1(X7)	1
p5(X5, a0)	p5(a64, a0)	1
p1(X6)	p1(a74)	1
p7(a0, X0)	p7(X9, X9) :- p0(X9)	1
p3(a64, X0)	p3(a64, a11)	1
p0(X9)	p0(a54)	1
p8(X0, X7)	p8(a70, a52)	1
p6(X1)	p6(X4) :- p7(X4, X4), p6(X4)	1
p3(a70, a38)	p3(a70, a38)	1
p8(X0, a94)	p8(a25, a94)	1
p3(X5, X0)	p3(a46, a11)	1
p3(X4, X0)	p3(a11, a18)	1
p8(X5, X7)	p8(a16, a10)	1
p1(X6)	p1(a69)	1
p9(X0, X1, X2)	p9(a55, a20, a15)	1
p7(a34, X0)	p7(X9, X9) :- p0(X9)	1
p0(X9)	p0(a21)	1
p7(X3, X3)	p7(X9, X9) :- p0(X9)	1
p0(a39)	p0(X5) :- p0(X5)	1
p1(a51)	p1(a51)	1
p6(X8)	p6(a34)	1
p0(X7)	p0(a80)	1
p8(X6, X0)	p8(a16, a13)	1
p7(X0, a13)	p7(X9, X9) :- p0(X9)	1
p7(X0, X8)	p7(a25, a9)	1
p4(a91, a78, a0, X0, a1)	p4(a91, a78, a0, a3, a1)	1
p3(X2, a29)	p3(a16, a29)	1
p5(X0, a1)	p5(a76, a1)	1
p9(X1, X2, X0)	p9(a50, a13, a0)	1
p3(X3, X0)	p3(a0, a34)	1
p4(a11, X2, a11, X2, a55)	p4(X3, X5, X3, X5, a55) :- p8(X5, X3)	1
p8(X6, X0)	p8(a27, a43)	1
p7(X2, a0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p9(X0, a75, a28)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p3(X8, X4)	p3(a75, a11)	1
p7(X1, X0)	p7(a23, a35)	1
p7(X8, X0)	p7(X6, X7) :- p9(X0, X6, X7)	1
p0(X1)	p0(a0)	1
p5(X8, X0)	p5(a76, a1)	1
p9(X2, X1, X0)	p9(a1, a61, a12)	1
p3(X0, X9)	p3(a11, a18)	1
p7(X0, X1)	p7(a56, a54)	1
p0(X7)	p0(X2) :- p5(X2, X5), p0(X5)	1
p3(a39, a28)	p3(a39, a28)	1
p4(a40, a91, a17, a17, X0)	p4(a40, a91, a17, a17, a35)	1
p3(X0, X1)	p3(a4, a77)	1
p8(X4, X2)	p8(a77, a1)	1
p6(X7)	p6(a1)	1
p9(X0, X8, X2)	p9(a44, a60, a28)	1
p0(a44)	p0(X3) :- p6(X3)	1
p0(X5)	p0(a89)	1
p9(X0, a76, X1)	p9(a43, a76, a16)	1
p7(X9, a80)	p7(X9, X9) :- p0(X9)	1
p0(X9)	p0(a80)	1
p0(a65)	p0(X9) :- p3(X9, X7), p1(X7)	1
p7(X1, X0)	p7(a38, a0)	1
p7(X0, a44)	p7(X9, X9) :- p0(X9)	1
p8(X0, X5)	p8(a17, a11)	1
p3(X6, X0)	p3(a19, a90)	1
p3(X8, X0)	p3(a92, a46)	1
p5(X8, X0)	p5(a92, a4)	1
p8(X6, X0)	p8(a77, a1)	1
p0(X5)	p0(a1)	1
p8(a4, X3)	p8(a4, a11)	1
p7(a4, X0)	p7(X1, X1) :- p8(X1, X9)	1
p9(X1, X0, a12)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p8(X0, X3)	p8(a17, a11)	1
p3(a16, X0)	p3(a16, a29)	1
p7(X9, a54)	p7(X1, X1) :- p8(X1, X9)	1
p1(X2)	p1(X1) :- p0(X5), p7(X1, X5)	1
p7(X5, X5)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p7(X0, X1)	p7(a40, a72)	1
p3(X8, X0)	p3(a7, a81)	1
p9(X0, X1, X2)	p9(a43, a7, a83)	1
p0(X9)	p0(X2) :- p5(X2, X5), p0(X5)	1
p3(X0, X3)	p3(a92, a46)	1
p6(X2)	p6(a0)	1
p5(X6, X0)	p5(a59, a4)	1
p0(X2)	p0(a21)	1
p7(a33, X0)	p7(X9, X9) :- p0(X9)	1
p9(X0, X9, a12)	p9(a1, a61, a12)	1
p3(X7, X0)	p3(a64, a11)	1
p8(X4, X8)	p8(a4, a11)	1
p7(X9, a54)	p7(a56, a54)	1
p7(X2, X1)	p7(a25, a9)	1
p7(X0, X1)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p0(a1)	p0(a1)	1
p8(X0, a1)	p8(a77, a1)	1
p8(X0, X3)	p8(a92, a17)	1
p9(X1, X2, X0)	p9(a55, a20, a15)	1
p8(X0, X7)	p8(a20, a14)	1
p3(X0, X3)	p3(a7, a81)	1
p8(X0, a14)	p8(a20, a14)	1
p7(a89, a22)	p7(X6, X7) :- p9(X0, X6, X7)	1
p0(X1)	p0(a13)	1
p8(X4, a13)	p8(a16, a13)	1
p3(X1, a0)	p3(a6, a0)	1
p0(X8)	p0(a10)	1
p8(X0, X5)	p8(a92, a17)	1
p3(X3, X0)	p3(a39, a28)	1
p8(X3, X0)	p8(a92, a17)	1
p9(X0, X8, X2)	p9(a17, a76, a10)	1
p3(a92, X0)	p3(a92, a46)	1
p8(a20, X0)	p8(a20, a14)	1
p7(X7, a76)	p7(X9, X9) :- p0(X9)	1
p7(X0, X8)	p7(a0, a96)	1
p1(X1)	p1(a72)	1
p7(a59, a59)	p7(X9, X9) :- p0(X9)	1
p3(X9, X0)	p3(a19, a90)	1
p3(X1, X0)	p3(a7, a81)	1
p3(X0, X9)	p3(a17, a42)	1
p0(X4)	p0(a51)	1
p8(X1, X0)	p8(a25, a94)	1
p5(X6, a1)	p5(a76, a1)	1
p7(X7, a16)	p7(X1, X1) :- p8(X1, X9)	1
p9(X0, X2, a0)	p9(a50, a13, a0)	1
p5(X3, X0)	p5(a59, a4)	1
p5(a64, X0)	p5(a64, a0)	1
p7(X0, X8)	p7(a51, a13)	1
p1(X1)	p1(a12)	1
p7(X8, X8)	p7(X1, X1) :- p8(X1, X9)	1
p0(X6)	p0(a13)	1
p6(X4)	p6(a76)	1
p9(X0, X1, X2)	p9(a83, a77, a57)	1
p9(X1, X2, X0)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p8(X0, X8)	p8(a17, a11)	1
p8(a54, X0)	p8(a54, a28)	1
p7(a13, X0)	p7(X4, X4) :- p1(X4), p8(X9, X4)	1
p3(X0, X2)	p3(a7, a81)	1
p0(X9)	p0(a88)	1
p3(X2, a46)	p3(a99, a46)	1
p3(X0, X5)	p3(a92, a46)	1
p9(X0, a76, X3)	p9(a43, a76, a16)	1
p3(X5, X0)	p3(a65, a13)	1
p9(X1, X2, X0)	p9(a20, a97, a41)	1
p8(X7, X0)	p8(a20, a14)	1
p7(X2, X1)	p7(a0, a88)	1
p6(X1)	p6(a12)	1
p8(X0, X8)	p8(a29, a62)	1
p7(X5, X0)	p7(a38, a0)	1
p3(X5, X0)	p3(a92, a46)	1
p0(X8)	p0(a33)	1
p0(X2)	p0(a80)	1
p5(X8, X0)	p5(a64, a0)	1
p3(X6, a46)	p3(a99, a46)	1
p9(X0, X2, X1)	p9(a55, a20, a15)	1
p8(X0, X8)	p8(a92, a17)	1
p3(X5, X0)	p3(a89, a77)	1
p8(X4, X0)	p8(a64, a59)	1
p7(X0, X1)	p7(X9, X9) :- p0(X9)	1
p3(X7, X0)	p3(a6, a0)	1
p8(X3, X0)	p8(a16, a10)	1
p3(X0, X8)	p3(a17, a42)	1
p7(X7, a10)	p7(a0, a10)	1
p7(X2, a1)	p7(X9, X9) :- p0(X9)	1
p9(X1, X2, X0)	p9(a43, a7, a83)	1
p7(X4, a89)	p7(X9, X9) :- p0(X9)	1
p3(a41, a12)	p3(a41, a12)	1
p5(X6, X0)	p5(a76, a1)	1
p7(X7, a23)	p7(X9, X9) :- p0(X9)	1
p3(X7, X0)	p3(a8, a0)	1
p8(X3, X0)	p8(a4, a11)	1
p8(X5, X7)	p8(a20, a14)	1
p0(X7)	p0(a4)	1
p0(X2)	p0(X2) :- p5(X2, X5), p0(X5)	1
p8(X4, X0)	p8(a25, a94)	1
p7(a20, a20)	p7(X1, X1) :- p8(X1, X9)	1
p8(X2, X0)	p8(a20, a14)	1
p3(X0, X8)	p3(a65, a13)	1
p3(X0, X4)	p3(a75, a11)	1
p1(X0)	p1(a35)	1
p5(X8, X0)	p5(a80, a14)	1
p3(X5, X0)	p3(a12, a43)	1
p8(X9, X0)	p8(a27, a43)	1
p3(X0, X4)	p3(a8, a0)	1
p9(X0, X2, X1)	p9(a14, a38, a85)	1
p9(X1, X0, X2)	p9(a81, a27, a0)	1
p5(a0, X0)	p5(a0, a98)	1
p9(X0, X7, a16)	p9(a64, a12, a16)	1
p7(a13, X0)	p7(X9, X9) :- p0(X9)	1
p7(X4, a22)	p7(X9, X9) :- p0(X9)	1
p3(X0, X7)	p3(a65, a13)	1
p3(X0, X7)	p3(a71, a1) :- p0(X0)	1
p5(X8, X0)	p5(a99, a66)	1
p3(X8, X0)	p3(a46, a11)	1
p6(X9)	p6(a24)	1
p7(X1, X0)	p7(a58, a13)	1
p0(X4)	p0(a4)	1
p3(X7, X0)	p3(a11, a18)	1
p0(X2)	p0(a88)	1
p3(X0, X8)	p3(a92, a46)	1
p1(X7)	p1(a51)	1
p7(a17, a17)	p7(X1, X1) :- p8(X1, X9)	1
p1(X4)	p1(a28)	1
p9(X0, X1, a10)	p9(a24, a46, a10)	1
p7(X4, X0)	p7(a36, a2)	1
p3(X0, X8)	p3(a89, a77)	1
p7(X2, a21)	p7(X9, X9) :- p0(X9)	1
p1(X1)	p1(a2)	1
p7(a25, a25)	p7(X1, X1) :- p8(X1, X9)	1
p1(X9)	p1(a13)	1
p0(X5)	p0(a13)	1
p3(X0, X3)	p3(a46, a11)	1
p3(X8, a12)	p3(a41, a12)	1
p9(X0, X1, X2)	p9(a50, a13, a0)	1
p0(a76)	p0(X5) :- p0(X5)	1
p3(X7, X5)	p3(a0, a34)	1
p5(X1, a51)	p5(a0, a51)	1
p7(a29, a29)	p7(X9, X9) :- p0(X9)	1
p3(X8, a0)	p3(a8, a0)	1
p8(X0, X5)	p8(a12, a1)	1
p5(a17, X0)	p5(a17, a82) :- p6(X8)	1
p5(X8, X0)	p5(a0, a98)	1
p5(X1, X0)	p5(a26, a25)	1
p7(X2, X2)	p7(X1, X1) :- p8(X1, X9)	1
p7(X4, a13)	p7(a51, a13)	1
p3(X3, X0)	p3(a16, a29)	1
p5(X4, X0)	p5(a26, a25)	1
p7(X0, X1)	p7(a38, a0)	1
p7(X4, X0)	p7(a0, a88)	1
p5(X7, X0)	p5(a76, a1)	1
p5(X3, X0)	p5(a36, a80)	1
p8(X0, X3)	p8(a12, a1)	1
p7(X7, a39)	p7(X9, X9) :- p0(X9)	1
p3(X4, X0)	p3(a75, a11)	1
p1(X0)	p1(a32)	1
p9(X0, X1, a43)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p3(X6, a0)	p3(a6, a0)	1
p0(X7)	p0(a29)	1
p0(X0)	p0(a10)	1
p7(X0, a88)	p7(X9, X9) :- p0(X9)	1
p3(X7, a13)	p3(a65, a13)	1
p3(X6, a0)	p3(a8, a0)	1
p3(X4, X0)	p3(a8, a0)	1
p9(X0, X7, a41)	p9(a20, a97, a41)	1
p0(X6)	p0(a89)	1
p3(X0, X8)	p3(a12, a43)	1
p0(X7)	p0(a21)	1
p9(X0, X1, a10)	p9(a92, a29, a10)	1
p3(a17, X0)	p3(a17, a42)	1
p5(X8, X0)	p5(a52, a48)	1
p5(X0, X1)	p5(a17, a82) :- p6(X8)	1
p6(X7)	p6(a44)	1
p7(X0, a13)	p7(a58, a13)	1
p3(X0, X2)	p3(a46, a11)	1
p1(X5)	p1(a29)	1
p1(a29)	p1(a29)	1
p9(X0, a75, a12)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p6(X8)	p6(a12)	1
p7(X1, a54)	p7(a56, a54)	1
p3(X3, X0)	p3(a41, a12)	1
p9(X2, X1, X0)	p9(a81, a27, a0)	1
p0(X2)	p0(a39)	1
p5(X6, X0)	p5(a64, a0)	1
p9(X0, X8, X1)	p9(a91, a98, a71)	1
p1(X7)	p1(X1) :- p0(X5), p7(X1, X5)	1
p7(a23, a23)	p7(X9, X9) :- p0(X9)	1
p6(X2)	p6(a1)	1
p7(X9, a22)	p7(X6, X7) :- p9(X0, X6, X7)	1
p9(X0, X1, a71)	p9(a91, a98, a71)	1
p9(X1, X0, X2)	p9(a0, a1, a43)	1
p8(X0, X8)	p8(a12, a1)	1
p7(X0, a11)	p7(X9, X9) :- p0(X9)	1
p3(X0, X4)	p3(a7, a81)	1
p6(X2)	p6(X4) :- p7(X4, X4), p6(X4)	1
p3(X7, X5)	p3(a39, a28)	1
p0(a24)	p0(X5) :- p0(X5)	1
p5(X7, a0)	p5(a64, a0)	1
p7(X0, X8)	p7(a56, a54)	1
p5(X2, a4)	p5(a59, a4)	1
p8(X9, X0)	p8(a17, a11)	1
p6(X6)	p6(a34)	1
p7(X4, X4)	p7(X1, X1) :- p8(X1, X9)	1
p8(X0, X3)	p8(a9, a0)	1
p5(a76, X0)	p5(a76, a1)	1
p7(X6, X0)	p7(a23, a35)	1
p4(a10, X0, a94, a19, a30)	p4(a10, a89, a94, a19, a30)	1
p7(X6, X0)	p7(a38, a0)	1
p5(X6, X0)	p5(a80, a14)	1
p3(X6, X0)	p3(a0, a34)	1
p7(X8, X0)	p7(a25, a9)	1
p9(X0, a29, X1)	p9(a92, a29, a10)	1
p1(X6)	p1(a2)	1
p9(X0, X1, X2)	p9(X1, a75, X0) :- p9(X2, X1, X0)	1
p3(X5, X0)	p3(a11, a18)	1
p7(a0, a1)	p7(a0, a1)	1
p6(X5)	p6(a21)	1
p9(X0, X1, X2)	p9(a20, a97, a41)	1
p7(X2, X1)	p7(X1, X1) :- p8(X1, X9)	1
p7(X8, X0)	p7(a36, a2)	1
p3(X0, X1)	p3(a53, a72)	1
p8(X4, X2)	p8(a64, a59)	1
p3(X8, X0)	p3(a65, a13)	1
p6(X5)	p6(a0)	1
p0(X5)	p0(a51)	1
p1(a24)	p1(a24)	1
p5(X7, X0)	p5(a64, a0)	1
p0(X3)	p0(a80)	1
p7(X4, a33)	p7(X9, X9) :- p0(X9)	1
p6(X4)	p6(a22)	1
p0(X4)	p0(a80)	1
p7(a29, X0)	p7(X9, X9) :- p0(X9)	1
p8(a29, a62)	p8(a29, a62)	1
p8(X8, X0)	p8(a17, a11)	1
p1(X4)	p1(a24)	1
p5(X1, X0)	p5(a17, a82) :- p6(X8)	1
p3(X0, X3)	p3(a65, a13)	1
p7(X2, X1)	p7(a29, a4)	1
p3(X8, X0)	p3(a89, a77)	1
p1(X4)	p1(a65)	1
p0(X1)	p0(a22)	1
p5(X1, a1)	p5(a76, a1)	1
p0(a4)	p0(a4)	1
p8(X4, X2)	p8(a25, a94)	1
p7(X0, a22)	p7(X9, X9) :- p0(X9)	1
p5(X0, X1)	p5(a59, a4)	1
p7(X1, X0)	p7(a10, a35)	1
p3(X9, X0)	p3(a0, a34)	1
