goal	rule	score
p0(X5, X0)	p0(a18, a40)	1
p4(a28)	p4(X8) :- p4(X8)	1
p0(X0, X1)	p0(a25, a24)	1
p9(X7, X9, X2)	p9(a46, a5, X7) :- p0(X7, X4)	1
p5(X0)	p5(a97)	1
p3(a10, a10)	p3(X4, X4) :- p4(X4)	1
p3(X0, X1)	p3(a0, a0)	1
p6(a53, X0, X1, a10)	p6(a53, a51, a0, a10)	1
p8(a5, a13)	p8(a5, a13)	1
p9(X7, X9, X2)	p9(a38, a4, a94)	1
p3(X0, X7)	p3(a18, a0)	1
p6(X0, X1, X2, X3)	p6(a13, a33, a14, a38)	1
p6(X0, X1, X2, a0)	p6(a85, a91, a57, a0)	1
p0(X2, X0)	p0(a22, a14)	1
p5(a47)	p5(a47)	1
p0(X1, X0)	p0(a25, a38)	1
p9(a46, X7, X2)	p9(a46, a5, X7) :- p0(X7, X4)	1
p4(X4)	p4(a18)	1
p0(X0, X4)	p0(a0, a60)	1
p4(X4)	p4(a51)	1
p4(a98)	p4(X8) :- p4(X8)	1
p2(X4)	p2(a21)	1
p5(a30)	p5(a30)	1
p6(X0, X1, X2, X3)	p6(a74, a21, a92, a12)	1
p4(a51)	p4(a51)	1
p4(X6)	p4(a13)	1
p3(a0, a18)	p3(a0, a18)	1
p3(X0, X5)	p3(a27, a10)	1
p0(a0, X0)	p0(a0, a60)	1
p5(X1)	p5(a81)	1
p6(a92, a38, X2, a0)	p6(a92, X6, a40, a0) :- p4(X6)	1
p5(X1)	p5(a42)	1
p3(X0, X1)	p3(a11, a58)	1
p3(X0, X7)	p3(a95, a45)	1
p1(X5, X6)	p1(a0, a46)	1
p0(X0, X2)	p0(a45, a11)	1
p3(X0, X6)	p3(a47, a45)	1
p4(X2)	p4(a13)	1
p3(X0, X1)	p3(a18, a0)	1
p4(X6)	p4(a82)	1
p3(a21, X1)	p3(a21, a30)	1
p4(X0)	p4(a52)	1
p4(X9)	p4(a31)	1
p5(X9)	p5(a18)	1
p0(X1, X0)	p0(a63, a10)	1
p1(X4, X1)	p1(a40, a15)	1
p5(X9)	p5(a21)	1
p0(X0, X1)	p0(a27, a24)	1
p3(X0, X6)	p3(a24, a57)	1
p6(X0, X1, X2, X3)	p6(a42, a50, a18, a49)	1
p4(X8)	p4(a11)	1
p8(a11, X0)	p8(a11, a80)	1
p3(a0, X0)	p3(a0, a0)	1
p3(X3, X3)	p3(a0, a0)	1
p4(a0)	p4(X8) :- p4(X8)	1
p4(X8)	p4(a38)	1
p3(X0, a15)	p3(X4, X4) :- p4(X4)	1
p4(X6)	p4(a38)	1
p3(X9, X9)	p3(X4, X4) :- p4(X4)	1
p0(X5, X0)	p0(a43, a0)	1
p2(X0)	p2(a10)	1
p8(X0, X1)	p8(a0, a68)	1
p4(X5)	p4(a64)	1
p4(X4)	p4(a31)	1
p4(X6)	p4(a18)	1
p4(X6)	p4(a51)	1
p2(X0)	p2(a43)	1
p6(X0, X1, X2, X3)	p6(a38, a10, a10, a1)	1
p3(X0, X0)	p3(X4, X4) :- p4(X4)	1
p2(X1)	p2(a41)	1
p4(X2)	p4(a82)	1
p3(X0, X6)	p3(a18, a4)	1
p2(X0)	p2(a29)	1
p0(X6, X0)	p0(a11, a0)	1
p0(X7, X0)	p0(a21, a85)	1
p0(X1, X0)	p0(a33, a3)	1
p0(a74, X0)	p0(a74, a94)	1
p0(X5, X0)	p0(a41, a18)	1
p0(X2, X0)	p0(a0, a27)	1
p0(X1, X0)	p0(a12, a30)	1
p4(a53)	p4(X8) :- p4(X8)	1
p4(X9)	p4(a15)	1
p6(a30, X3, X1, a15)	p6(X6, X4, a57, a15) :- p5(X6), p9(X6, X6, X4)	1
p3(X0, X9)	p3(a24, a12)	1
p0(X6, X0)	p0(a12, a14)	1
p1(X4, X1)	p1(a50, a36)	1
p0(X0, X1)	p0(a6, a28)	1
p3(X0, X6)	p3(a13, a45)	1
p3(X0, X1)	p3(a25, a0)	1
p1(a13, X0)	p1(a13, a51)	1
p8(a14, X0)	p8(a14, a92)	1
p3(a80, a80)	p3(X4, X4) :- p4(X4)	1
p6(X0, X1, X2, X3)	p6(a69, a53, a18, a71)	1
p3(X0, X9)	p3(a48, a41)	1
p3(X1, X0)	p3(a84, a2)	1
p3(X0, a51)	p3(X4, X4) :- p4(X4)	1
p0(X6, X0)	p0(a6, a28)	1
p2(X1)	p2(a19)	1
p2(a2)	p2(a2)	1
p8(X0, X1)	p8(a25, a31)	1
p4(X0)	p4(a0)	1
p0(X6, X0)	p0(a0, a60)	1
p2(a21)	p2(a21)	1
p8(X0, a0)	p8(a17, a0)	1
p8(a17, X0)	p8(a17, a74)	1
p0(X5, X0)	p0(a43, a9)	1
p0(X9, X0)	p0(a63, a10)	1
p4(X1)	p4(a31)	1
p0(X0, X2)	p0(a20, a1)	1
p0(X5, X0)	p0(a88, a12)	1
p0(X8, X0)	p0(a89, a0)	1
p6(X0, X1, X2, X3)	p6(a7, a29, a0, a69)	1
p6(X0, X1, X2, a0)	p6(a0, a0, a10, a0)	1
p0(X8, X0)	p0(a48, a35)	1
p0(X1, X0)	p0(a88, a12)	1
p0(X9, X0)	p0(a91, a3)	1
p1(X5, X6)	p1(a24, a94)	1
p4(X0)	p4(X8) :- p4(X8)	1
p8(a17, a74)	p8(a17, a74)	1
p9(X7, X9, X2)	p9(a33, a19, a32)	1
p3(X0, X1)	p3(a0, a30)	1
p9(X7, X9, X2)	p9(a11, a6, a8)	1
p4(X5)	p4(a40)	1
p8(X0, X1)	p8(a42, a18)	1
p3(X0, X8)	p3(a47, a4)	1
p0(X2, X0)	p0(a37, a1)	1
p6(a53, X0, X1, X2)	p6(a53, a51, a0, a10)	1
p0(X0, X1)	p0(a0, a23)	1
p0(X8, X0)	p0(a25, a89)	1
p2(X1)	p2(a0)	1
p0(X1, X0)	p0(a22, a14)	1
p0(a31, X0)	p0(a31, a3)	1
p3(X0, X8)	p3(a95, a45)	1
p3(X1, X0)	p3(a67, a0)	1
p4(X7)	p4(a10)	1
p1(X5, X6)	p1(a20, a16)	1
p8(a88, X0)	p8(a88, a80)	1
p0(X0, X1)	p0(a18, a40)	1
p4(X0)	p4(a98)	1
p0(X0, X4)	p0(a22, a12)	1
p6(X0, X1, X2, X3)	p6(a1, a11, a54, a30)	1
p3(X0, a35)	p3(a0, a35)	1
p6(a10, X0, X1, a34)	p6(a10, a7, a0, a34)	1
p2(X1)	p2(a1)	1
p0(a18, X0)	p0(a18, a10)	1
p3(X0, a0)	p3(a0, a0)	1
p4(X9)	p4(a28)	1
p0(X2, X0)	p0(a1, a36)	1
p3(X0, X8)	p3(a28, a0)	1
p0(X2, X0)	p0(a31, a3)	1
p3(X0, X7)	p3(a0, a80)	1
p3(X0, X1)	p3(a1, a0)	1
p6(a80, X0, X1, X2)	p6(a80, a24, a12, a24)	1
p0(X6, X0)	p0(a18, a40)	1
p0(X0, X2)	p0(a31, a3)	1
p8(X0, a66)	p8(a42, a66)	1
p2(X0)	p2(a64)	1
p5(X1)	p5(a26)	1
p0(X0, a0)	p0(a11, a0)	1
p3(a1, X1)	p3(a1, a0)	1
p3(X0, X8)	p3(a26, a11)	1
p3(X0, X1)	p3(a2, a26)	1
p5(X1)	p5(a45)	1
p3(X1, X0)	p3(a0, a80)	1
p0(X0, X1)	p0(a89, a0)	1
p6(a7, X0, X1, X2)	p6(a7, a29, a0, a69)	1
p9(a30, a30, X0)	p9(a30, a30, a63)	1
p6(a1, a43, a90, X0)	p6(a1, a43, a90, a2)	1
p0(X8, X0)	p0(a25, a24)	1
p4(X7)	p4(a66)	1
p9(X7, X9, X2)	p9(a59, X1, X6) :- p6(X1, X6, X6, X5)	1
p8(X0, a10)	p8(a64, a10)	1
p0(X8, X0)	p0(a41, a18)	1
p5(X9)	p5(a47)	1
p5(X1)	p5(a36)	1
p3(X0, X6)	p3(a98, a56)	1
p0(X2, X0)	p0(a18, a10)	1
p2(X4)	p2(a16)	1
p1(X4, X1)	p1(a96, a90)	1
p6(X0, X1, X2, X3)	p6(a24, a76, a62, a81)	1
p2(a35)	p2(a35)	1
p4(X5)	p4(a28)	1
p0(X1, X0)	p0(a0, a27)	1
p3(X0, a5)	p3(a0, a5)	1
p0(X7, X0)	p0(a6, a28)	1
p4(X0)	p4(a63)	1
p0(a63, a10)	p0(a63, a10)	1
p4(X1)	p4(a52)	1
p3(a0, a5)	p3(a0, a5)	1
p1(X4, X1)	p1(a26, a53)	1
p4(a15)	p4(X8) :- p4(X8)	1
p9(X7, X9, X2)	p9(a29, a47, a23)	1
p4(X8)	p4(a10)	1
p0(X9, X0)	p0(a22, a14)	1
p6(X0, X1, X2, X3)	p6(a12, a14, a10, a28)	1
p4(X3)	p4(a38)	1
p2(X0)	p2(a80)	1
p3(X0, X6)	p3(a0, a18)	1
p3(X0, a10)	p3(X4, X4) :- p4(X4)	1
p3(a44, a44)	p3(X4, X4) :- p4(X4)	1
p1(X5, X6)	p1(a96, a90)	1
p3(X0, X8)	p3(a53, a97)	1
p2(X4)	p2(a24)	1
p0(X0, X4)	p0(a12, a14)	1
p0(X8, X0)	p0(a27, a24)	1
p3(X0, X5)	p3(a47, a4)	1
p8(a1, a38)	p8(a1, a38)	1
p3(a24, X0)	p3(X4, X4) :- p4(X4)	1
p2(X1)	p2(a2)	1
p3(a24, X0)	p3(a24, a74)	1
p0(X6, X0)	p0(a43, a0)	1
p3(X0, X5)	p3(a51, a35)	1
p0(X0, X1)	p0(a41, a18)	1
p5(X9)	p5(a36)	1
p3(a38, a38)	p3(X4, X4) :- p4(X4)	1
p8(X0, X1)	p8(a94, a71)	1
p3(X2, X2)	p3(X4, X4) :- p4(X4)	1
p5(X9)	p5(a45)	1
p0(X5, X0)	p0(a69, a83)	1
p4(X1)	p4(a28)	1
p0(X8, X0)	p0(a51, a13)	1
p2(X5)	p2(a19)	1
p5(X0)	p5(a10)	1
p4(X9)	p4(a2)	1
p3(a0, X1)	p3(a0, a18)	1
p4(X4)	p4(X8) :- p4(X8)	1
p1(X5, X6)	p1(a48, a25)	1
p4(X8)	p4(a66)	1
p6(a1, X0, a90, X1)	p6(a1, a43, a90, a2)	1
p2(X0)	p2(a2)	1
p2(X4)	p2(a23)	1
p6(a13, X0, X1, X2)	p6(a13, a33, a14, a38)	1
p3(X0, a0)	p3(a25, a0)	1
p4(a51)	p4(X8) :- p4(X8)	1
p1(X5, X6)	p1(a29, a96)	1
p0(X5, X0)	p0(a25, a38)	1
p4(X1)	p4(a13)	1
p0(X0, a10)	p0(a63, a10)	1
p3(X0, X5)	p3(a28, a0)	1
p1(X4, X1)	p1(a40, a25)	1
p3(X0, X6)	p3(a26, a0)	1
p5(X1)	p5(a59)	1
p1(X5, X6)	p1(a13, a1)	1
p0(X9, X0)	p0(a0, a11)	1
p3(X0, a16)	p3(X4, X4) :- p4(X4)	1
p3(X0, X7)	p3(a47, a4)	1
p3(X0, X6)	p3(a11, a67)	1
p4(X9)	p4(a98)	1
p2(X4)	p2(a78)	1
p6(X0, X1, X2, X3)	p6(a8, a15, a74, a10)	1
p4(X4)	p4(a2)	1
p0(X7, X0)	p0(a18, a40)	1
p2(X4)	p2(a74)	1
p0(X1, X0)	p0(a37, a1)	1
p0(X0, X1)	p0(a43, a9)	1
p1(X5, X6)	p1(a47, a22)	1
p3(X0, X7)	p3(a51, a35)	1
p3(X0, X1)	p3(a0, a5)	1
p0(X0, X1)	p0(a88, a12)	1
p3(X1, X0)	p3(a95, a45)	1
p8(X0, a53)	p8(a31, a53)	1
p3(a64, X1)	p3(X4, X4) :- p4(X4)	1
p2(X1)	p2(a10)	1
p4(X8)	p4(a82)	1
p0(a16, X0)	p0(a16, a0)	1
p4(X4)	p4(a98)	1
p9(a46, X0, X1)	p9(a46, a5, X7) :- p0(X7, X4)	1
p3(X0, X7)	p3(a28, a0)	1
p0(X6, X0)	p0(a58, a26)	1
p8(a17, X0)	p8(a17, a0)	1
p2(X1)	p2(a43)	1
p2(X1)	p2(a29)	1
p4(X9)	p4(a63)	1
p2(X4)	p2(a34)	1
p3(X1, X0)	p3(a28, a0)	1
p5(X1)	p5(a13)	1
p8(a25, a5)	p8(a25, a5)	1
p4(X6)	p4(X8) :- p4(X8)	1
p4(X1)	p4(a18)	1
p4(X1)	p4(a51)	1
p3(X0, X9)	p3(a84, a2)	1
p6(a11, X0, X1, a12)	p6(a11, a29, a0, a12)	1
p3(X0, X6)	p3(a60, a21)	1
p9(X7, X9, X2)	p9(a33, a41, a86)	1
p5(X1)	p5(a97)	1
p3(X0, X7)	p3(a27, a10)	1
p0(X5, X0)	p0(a12, a30)	1
p4(X2)	p4(a0)	1
p0(a0, X0)	p0(a0, a23)	1
p0(a43, X0)	p0(a43, a0)	1
p3(X0, X9)	p3(a84, a0)	1
p0(a20, a1)	p0(a20, a1)	1
p3(X0, a45)	p3(a95, a45)	1
p6(a11, a80, X7, X5)	p6(X2, X3, a7, a79) :- p8(X2, X3), p2(X3), p4(X2)	1
p4(X4)	p4(a63)	1
p4(X6)	p4(a2)	1
p3(X1, X0)	p3(a27, a10)	1
p9(a33, X0, a86)	p9(a33, a41, a86)	1
p0(X0, X4)	p0(a20, a1)	1
p2(X4)	p2(a38)	1
p8(a0, a0)	p8(a0, a0)	1
p5(a98)	p5(a98)	1
p5(a82)	p5(a82)	1
p0(X0, a0)	p0(a43, a0)	1
p3(X0, a0)	p3(a1, a0)	1
p3(X0, X1)	p3(a26, a11)	1
p3(X0, X6)	p3(a21, a30)	1
p4(X5)	p4(a31)	1
p3(X0, X7)	p3(a66, a81)	1
p4(X2)	p4(X8) :- p4(X8)	1
p1(X5, X6)	p1(a0, a27)	1
p0(X7, X0)	p0(a43, a0)	1
p5(a38)	p5(a38)	1
p1(X5, X6)	p1(a23, a26)	1
p3(a2, X0)	p3(a2, a26)	1
p8(X0, X1)	p8(a46, a33)	1
p0(X1, X0)	p0(a74, a94)	1
p0(X5, X0)	p0(a82, a21)	1
p3(X0, X5)	p3(a98, a56)	1
p3(X0, X7)	p3(a53, a97)	1
p3(X0, a76)	p3(a1, a76)	1
p0(X0, a23)	p0(a0, a23)	1
p0(X5, X0)	p0(a45, a11)	1
p0(X1, X0)	p0(a44, a30)	1
p3(a53, X0)	p3(a53, a97)	1
p3(X1, X0)	p3(a32, a24)	1
p3(X0, X9)	p3(a67, a0)	1
p4(a17)	p4(X8) :- p4(X8)	1
p4(X2)	p4(a44)	1
p0(X7, X0)	p0(a41, a18)	1
p9(X7, a5, a14)	p9(a46, a5, X7) :- p0(X7, X4)	1
p0(X8, X0)	p0(a22, a12)	1
p4(X2)	p4(a2)	1
p2(X5)	p2(a2)	1
p6(X2, a15, X0, a10)	p6(a8, a15, a74, a10)	1
p4(X9)	p4(a66)	1
p3(X1, X0)	p3(a53, a97)	1
p4(X2)	p4(a98)	1
p2(X4)	p2(a41)	1
p6(X0, X1, X2, X3)	p6(a71, a62, a25, a19)	1
p5(X9)	p5(a13)	1
p0(X0, X4)	p0(a71, a6)	1
p6(a10, X0, X1, X2)	p6(a10, a7, a0, a34)	1
p3(X0, a98)	p3(X4, X4) :- p4(X4)	1
p4(X5)	p4(a15)	1
p3(X0, X8)	p3(a30, a0)	1
p0(X9, X0)	p0(a1, a36)	1
p3(X0, X9)	p3(a19, a84)	1
p5(X1)	p5(a85)	1
p4(X6)	p4(a63)	1
p4(a5)	p4(a5)	1
p0(a11, X0)	p0(a11, a0)	1
p3(X0, X1)	p3(a13, a45)	1
p3(a0, X1)	p3(X4, X4) :- p4(X4)	1
p1(X4, X1)	p1(a33, a83)	1
p2(a10)	p2(a10)	1
p4(X0)	p4(a2)	1
p1(X2, a20)	p1(X9, a20) :- p4(X9)	1
p3(X0, X9)	p3(a12, a0)	1
p0(X6, X0)	p0(a11, a13)	1
p0(X6, X0)	p0(a0, a23)	1
p3(X0, X8)	p3(a51, a35)	1
p3(X0, X5)	p3(a86, a2)	1
p0(X0, X1)	p0(a69, a83)	1
p2(a23)	p2(a23)	1
p0(X7, X0)	p0(a27, a24)	1
p4(X3)	p4(a28)	1
p3(X0, X5)	p3(a1, a28)	1
p3(X0, a80)	p3(X4, X4) :- p4(X4)	1
p4(X2)	p4(a63)	1
p0(X0, X2)	p0(a91, a3)	1
p0(X0, X1)	p0(a25, a38)	1
p0(X6, X0)	p0(a69, a83)	1
p6(a1, X0, X1, a80)	p6(a1, a24, a81, a80)	1
p4(X3)	p4(a13)	1
p0(a12, X0)	p0(a12, a30)	1
p0(X0, X1)	p0(a22, a12)	1
p0(X0, X2)	p0(a18, a10)	1
p3(X0, X7)	p3(a18, a21)	1
p4(X5)	p4(a24)	1
p3(X0, X7)	p3(a1, a28)	1
p2(X0)	p2(a44)	1
p0(X8, X0)	p0(a82, a21)	1
p0(X9, X0)	p0(a16, a0)	1
p6(X0, X1, X2, a12)	p6(a74, a21, a92, a12)	1
p5(X1)	p5(a39)	1
p5(X9)	p5(a85)	1
p3(X0, a12)	p3(a24, a12)	1
p5(X1)	p5(a30)	1
p3(X0, X7)	p3(a86, a2)	1
p5(X0)	p5(a1)	1
p3(X0, X8)	p3(a66, a81)	1
p3(a1, X0)	p3(a1, a76)	1
p0(X0, X2)	p0(a11, a0)	1
p9(X7, X9, X2)	p9(a12, a65, a25)	1
p4(X9)	p4(a0)	1
p6(a74, X0, X1, X2)	p6(a74, a21, a92, a12)	1
p0(X8, X0)	p0(a43, a9)	1
p1(X4, X1)	p1(a13, a1)	1
p1(a32, X0)	p1(a32, a36)	1
p0(X0, X4)	p0(a22, a14)	1
p0(X0, X1)	p0(a12, a30)	1
p0(X2, X0)	p0(a6, a28)	1
p4(X4)	p4(a0)	1
p0(X2, X0)	p0(a16, a0)	1
p0(X1, X0)	p0(a14, a10)	1
p0(X1, X0)	p0(a21, a85)	1
p8(X0, X1)	p8(a0, a85)	1
p0(X0, X2)	p0(a0, a60)	1
p0(X0, X2)	p0(a16, a0)	1
p3(a11, X0)	p3(a11, a67)	1
p3(X0, X9)	p3(a95, a45)	1
p3(X0, a40)	p3(X4, X4) :- p4(X4)	1
p3(X1, X0)	p3(a24, a57)	1
p9(X1, X1, X2)	p9(a10, a10, a67)	1
p1(a50, X0)	p1(a50, a36)	1
p3(X0, X8)	p3(a24, a74)	1
p0(X7, X0)	p0(a11, a13)	1
p0(X7, X0)	p0(a0, a23)	1
p4(X7)	p4(a53)	1
p3(X0, a11)	p3(a26, a11)	1
p3(X0, X7)	p3(a30, a0)	1
p4(X7)	p4(a44)	1
p0(a44, X0)	p0(a44, a30)	1
p3(a0, a30)	p3(a0, a30)	1
p8(X0, X1)	p8(a11, a80)	1
p8(X0, a13)	p8(a5, a13)	1
p0(X0, X1)	p0(a82, a21)	1
p4(a11)	p4(a11)	1
p9(X0, a61, a22)	p9(a0, a61, a22)	1
p3(X0, X8)	p3(a98, a56)	1
p0(X0, X1)	p0(a45, a11)	1
p3(X1, X0)	p3(a30, a0)	1
p8(X0, a80)	p8(a75, a80)	1
p3(X1, X0)	p3(a47, a4)	1
p1(X4, X1)	p1(a17, a15)	1
p3(X0, X1)	p3(a0, a18)	1
p6(X9, X2, X2, X0)	p6(a38, a10, a10, a1)	1
p4(a80)	p4(a80)	1
p0(X7, X0)	p0(a69, a83)	1
p4(X5)	p4(a18)	1
p6(X0, X1, X2, X3)	p6(a13, a19, a17, a1)	1
p4(X5)	p4(a51)	1
p6(X4, X0, X7, a0)	p6(a85, a91, a57, a0)	1
p3(X0, a2)	p3(a84, a2)	1
p4(a40)	p4(X8) :- p4(X8)	1
p5(X0)	p5(a19)	1
p2(a12)	p2(a12)	1
p2(a19)	p2(a19)	1
p1(X5, X6)	p1(a1, a2)	1
p4(a52)	p4(a52)	1
p0(a18, X0)	p0(a18, a40)	1
p9(X7, X9, X2)	p9(a18, a13, a84)	1
p3(X0, X5)	p3(a48, a41)	1
p0(X7, X0)	p0(a25, a38)	1
p4(X1)	p4(a0)	1
p6(X0, X1, X2, a13)	p6(a33, a98, a70, a13)	1
p3(X1, X0)	p3(a51, a35)	1
p8(X0, X1)	p8(a7, a0)	1
p3(X0, X8)	p3(a33, a0)	1
p0(X5, X0)	p0(a14, a85)	1
p6(a55, X0, a54, a3)	p6(a55, a8, a54, a3)	1
p4(X6)	p4(a0)	1
p3(a16, X1)	p3(X4, X4) :- p4(X4)	1
p0(X0, a10)	p0(a18, a10)	1
p0(X0, a1)	p0(a20, a1)	1
p8(X0, a68)	p8(a0, a68)	1
p3(X0, X5)	p3(a66, a81)	1
p0(X0, X2)	p0(a0, a11)	1
p0(a16, a0)	p0(a16, a0)	1
p3(X0, X8)	p3(a18, a21)	1
p6(a17, a74, a7, X0)	p6(X2, X3, a7, a79) :- p8(X2, X3), p2(X3), p4(X2)	1
p2(a11)	p2(a11)	1
p0(X6, X0)	p0(a88, a12)	1
p3(X8, X8)	p3(a0, a0)	1
p3(X6, X6)	p3(X4, X4) :- p4(X4)	1
p8(X0, X1)	p8(a14, a4)	1
p5(X9)	p5(a35)	1
p4(X1)	p4(X8) :- p4(X8)	1
p0(X9, X0)	p0(a21, a85)	1
p3(X0, X8)	p3(a86, a2)	1
p0(a0, X0)	p0(a0, a27)	1
p3(X0, X6)	p3(a85, a10)	1
p0(X6, X0)	p0(a22, a14)	1
p4(X8)	p4(a53)	1
p0(a18, a10)	p0(a18, a10)	1
p4(X8)	p4(a44)	1
p8(a25, X0)	p8(a25, a5)	1
p0(a63, X0)	p0(a63, a10)	1
p4(X0)	p4(a17)	1
p3(X0, X1)	p3(a47, a45)	1
p8(X0, X1)	p8(a1, a86)	1
p9(X7, X9, X2)	p9(a14, a33, a12)	1
p8(a53, X0)	p8(a53, a27)	1
p4(X6)	p4(a44)	1
p3(X0, X6)	p3(a1, a76)	1
p3(X0, a36)	p3(a50, a36)	1
p4(X1)	p4(a2)	1
p0(X8, X0)	p0(a71, a6)	1
p3(X0, X9)	p3(a0, a35)	1
p7(X0, a85)	p7(a24, a85)	1
p4(X1)	p4(a98)	1
p9(X7, X9, X2)	p9(a40, a2, a67)	1
p5(X1)	p5(a19)	1
p5(a16)	p5(a16)	1
p3(X1, X0)	p3(a66, a81)	1
p2(X0)	p2(a12)	1
p3(X0, X5)	p3(X4, X4) :- p4(X4)	1
p3(X0, X5)	p3(a24, a74)	1
p3(X0, a26)	p3(a2, a26)	1
p4(a24)	p4(a24)	1
p3(X0, X6)	p3(a19, a84)	1
p5(X0)	p5(a38)	1
p0(X2, X0)	p0(a21, a85)	1
p1(X5, X6)	p1(a15, a0)	1
p0(X5, X0)	p0(a44, a30)	1
p0(X0, X4)	p0(a37, a1)	1
p0(a23, X0)	p0(a23, a30)	1
p8(X0, X1)	p8(a14, a92)	1
p3(X0, a18)	p3(a0, a18)	1
p2(X0)	p2(a21)	1
p9(X0, a5, a18)	p9(a46, a5, X7) :- p0(X7, X4)	1
p6(X0, X1, X2, a1)	p6(a38, a10, a10, a1)	1
p1(X5, X6)	p1(a86, a17)	1
p8(a94, X0)	p8(a94, a26)	1
p9(X7, X9, X2)	p9(a15, a19, a22)	1
p8(X0, X1)	p8(a64, a52)	1
p3(X0, a13)	p3(X4, X4) :- p4(X4)	1
p3(a24, X0)	p3(a24, a11)	1
p5(X0)	p5(a18)	1
p4(X6)	p4(a40)	1
p4(a28)	p4(a28)	1
p4(a52)	p4(X8) :- p4(X8)	1
p5(X9)	p5(a33)	1
p3(X0, X7)	p3(a24, a74)	1
p9(X7, X9, X2)	p9(a18, a13, a16)	1
p3(X0, X9)	p3(a0, a80)	1
p0(X2, X0)	p0(a41, a18)	1
p0(X7, X0)	p0(a82, a21)	1
p0(X8, X0)	p0(a14, a85)	1
p6(a1, X0, X1, a2)	p6(a1, a43, a90, a2)	1
p4(X3)	p4(a52)	1
p3(X0, X5)	p3(a33, a0)	1
p3(X0, X1)	p3(a21, a30)	1
p0(X7, X0)	p0(a45, a11)	1
p4(X0)	p4(a16)	1
p9(X7, X9, X2)	p9(a47, a49, a26)	1
p0(X0, X4)	p0(a31, a3)	1
p4(X1)	p4(a63)	1
p3(X0, a80)	p3(a0, a80)	1
p1(X5, X6)	p1(a1, a34)	1
p3(X1, X0)	p3(a24, a74)	1
p0(X7, X0)	p0(a43, a9)	1
p3(X0, X7)	p3(a98, a56)	1
p9(X7, X9, X2)	p9(a18, a41, a20)	1
p2(a34)	p2(a34)	1
p0(X6, X0)	p0(a0, a27)	1
p0(X0, X4)	p0(a18, a10)	1
p6(X4, X0, X7, a0)	p6(a0, a0, a10, a0)	1
p3(X0, X5)	p3(a18, a21)	1
p6(X0, a15, X8, a0)	p6(a92, X6, a40, a0) :- p4(X6)	1
p0(a33, X0)	p0(a33, a3)	1
p3(a24, a74)	p3(a24, a74)	1
p2(X1)	p2(a64)	1
p4(X2)	p4(a40)	1
p5(X0)	p5(a42)	1
p3(X0, a82)	p3(X4, X4) :- p4(X4)	1
p0(X7, X0)	p0(a88, a12)	1
p5(X1)	p5(a38)	1
p4(X5)	p4(a66)	1
p3(X0, X7)	p3(a33, a0)	1
p9(X7, a5, X0)	p9(a46, a5, X7) :- p0(X7, X4)	1
p0(a20, X0)	p0(a20, a1)	1
p0(X9, X0)	p0(a12, a14)	1
p3(X1, X0)	p3(a33, a0)	1
p2(X0)	p2(a68)	1
p0(X0, a24)	p0(a25, a24)	1
p3(X0, X6)	p3(a18, a0)	1
